#Insert size (bp)	insert size
36.0	3.0
37.0	2.0
38.0	5.0
40.0	1.0
41.0	1.0
42.0	1.0
43.0	1.0
44.0	1.0
50.0	2.0
53.0	1.0
54.0	2.0
58.0	1.0
60.0	1.0
62.0	2.0
66.0	2.0
67.0	1.0
70.0	3.0
71.0	1.0
74.0	1.0
75.0	1.0
76.0	149.0
77.0	2.0
78.0	1.0
79.0	1.0
80.0	2.0
81.0	1.0
83.0	1.0
84.0	1.0
85.0	2.0
86.0	2.0
87.0	3.0
88.0	4.0
89.0	2.0
90.0	3.0
91.0	3.0
92.0	3.0
93.0	2.0
94.0	4.0
95.0	5.0
96.0	1.0
97.0	2.0
98.0	3.0
99.0	2.0
100.0	5.0
101.0	2.0
102.0	2.0
103.0	4.0
104.0	4.0
105.0	3.0
106.0	3.0
107.0	8.0
108.0	9.0
109.0	7.0
110.0	2.0
111.0	5.0
112.0	6.0
113.0	4.0
114.0	6.0
115.0	3.0
116.0	9.0
117.0	6.0
118.0	9.0
119.0	5.0
120.0	6.0
121.0	10.0
122.0	10.0
123.0	9.0
124.0	18.0
125.0	11.0
126.0	12.0
127.0	18.0
128.0	10.0
129.0	11.0
130.0	19.0
131.0	25.0
132.0	33.0
133.0	28.0
134.0	35.0
135.0	45.0
136.0	29.0
137.0	55.0
138.0	44.0
139.0	60.0
140.0	73.0
141.0	72.0
142.0	78.0
143.0	108.0
144.0	85.0
145.0	101.0
146.0	114.0
147.0	103.0
148.0	143.0
149.0	147.0
150.0	169.0
151.0	153.0
152.0	184.0
153.0	211.0
154.0	216.0
155.0	256.0
156.0	277.0
157.0	303.0
158.0	315.0
159.0	332.0
160.0	330.0
161.0	335.0
162.0	355.0
163.0	374.0
164.0	379.0
165.0	395.0
166.0	421.0
167.0	394.0
168.0	459.0
169.0	422.0
170.0	537.0
171.0	511.0
172.0	474.0
173.0	491.0
174.0	474.0
175.0	464.0
176.0	485.0
177.0	494.0
178.0	524.0
179.0	503.0
180.0	506.0
181.0	505.0
182.0	507.0
183.0	544.0
184.0	526.0
185.0	437.0
186.0	512.0
187.0	434.0
188.0	393.0
189.0	444.0
190.0	376.0
191.0	383.0
192.0	364.0
193.0	313.0
194.0	301.0
195.0	316.0
196.0	358.0
197.0	285.0
198.0	258.0
199.0	222.0
200.0	244.0
201.0	215.0
202.0	174.0
203.0	172.0
204.0	147.0
205.0	145.0
206.0	115.0
207.0	131.0
208.0	78.0
209.0	101.0
210.0	66.0
211.0	60.0
212.0	30.0
213.0	34.0
214.0	37.0
215.0	27.0
216.0	18.0
217.0	26.0
218.0	20.0
219.0	24.0
220.0	12.0
221.0	5.0
222.0	11.0
223.0	8.0
224.0	3.0
225.0	8.0
226.0	3.0
227.0	5.0
228.0	2.0
229.0	4.0
230.0	2.0
231.0	2.0
233.0	2.0
234.0	1.0
238.0	1.0
239.0	2.0
240.0	2.0
243.0	1.0
245.0	2.0
246.0	2.0
247.0	2.0
248.0	1.0
259.0	4.0
261.0	1.0
264.0	1.0
268.0	6.0
282.0	1.0
284.0	1.0
286.0	1.0
287.0	1.0
288.0	2.0
291.0	2.0
293.0	1.0
296.0	2.0
297.0	1.0
298.0	3.0
301.0	1.0
302.0	1.0
304.0	2.0
308.0	2.0
311.0	1.0
314.0	2.0
316.0	1.0
317.0	1.0
324.0	2.0
335.0	1.0
344.0	1.0
353.0	1.0
355.0	1.0
359.0	1.0
368.0	1.0
376.0	1.0
