#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	5.074854097944684E-4
22.0	0.0
23.0	2.537427048972342E-4
24.0	2.537427048972342E-4
25.0	0.0010149708195889369
26.0	0.0015224562293834052
27.0	0.003044912458766811
28.0	0.0027911697538695766
29.0	0.003552397868561279
30.0	0.0053285968028419185
31.0	0.00482111139304745
32.0	0.007612281146917026
33.0	0.007612281146917026
34.0	0.01014970819588937
35.0	0.006851053032225324
36.0	0.011925907130170006
37.0	0.014209591474245116
38.0	0.018523217457498097
39.0	0.018776960162395336
40.0	0.017761989342806393
41.0	0.01725450393301193
42.0	0.018015732047703632
43.0	0.024866785079928948
44.0	0.019791930981984267
45.0	0.025120527784826187
46.0	0.035777721390510026
47.0	0.027911697538695764
48.0	0.03552397868561279
49.0	0.03374777975133215
50.0	0.03450900786602385
51.0	0.046688657701091096
52.0	0.04313625983252981
53.0	0.04744988581578279
54.0	0.045927429586399386
55.0	0.0489723420451662
56.0	0.04059883278355748
57.0	0.0393301192590713
58.0	0.03400152245622939
59.0	0.03425526516112662
60.0	0.03247906622684597
61.0	0.02791169753869576
62.0	0.022075615326059377
63.0	0.026389241309312358
64.0	0.02715046942400406
65.0	0.02232935803095661
66.0	0.018269474752600864
67.0	0.013702106064450647
68.0	0.01014970819588937
69.0	0.004313625983252981
70.0	0.002283684344075108
71.0	5.074854097944684E-4
72.0	5.074854097944684E-4
73.0	7.612281146917026E-4
74.0	2.537427048972342E-4
75.0	5.074854097944684E-4
76.0	2.537427048972342E-4
77.0	0.0
78.0	2.537427048972342E-4
79.0	0.0
80.0	2.537427048972342E-4
81.0	0.0
82.0	0.0
83.0	2.537427048972342E-4
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
