#Mapping quality	mapping quality
0.0	1130.0
1.0	3234.0
2.0	5.0
3.0	16.0
4.0	2.0
5.0	6.0
6.0	22.0
7.0	14.0
8.0	30.0
9.0	61.0
10.0	50.0
11.0	19.0
12.0	35.0
13.0	26.0
14.0	19.0
15.0	16.0
16.0	7.0
17.0	16.0
18.0	10.0
19.0	7.0
20.0	82.0
21.0	2.0
22.0	7.0
23.0	8.0
24.0	11.0
25.0	11.0
26.0	7.0
27.0	10.0
28.0	14.0
29.0	20.0
30.0	584.0
31.0	36.0
32.0	26.0
33.0	31.0
34.0	21.0
35.0	27.0
36.0	26.0
37.0	28.0
38.0	47.0
39.0	37.0
40.0	289.0
41.0	59.0
42.0	59.0
43.0	47.0
44.0	55.0
45.0	255.0
46.0	104.0
47.0	120.0
48.0	68.0
49.0	75.0
50.0	25.0
51.0	87.0
52.0	65.0
53.0	90.0
54.0	65.0
55.0	128.0
56.0	200.0
57.0	268.0
58.0	371.0
59.0	819.0
60.0	209674.0
