#Coverage	Number of genomic locations
0.0	5.1098289E7
1.0	59360.0
2.0	31648.0
3.0	18083.0
4.0	12319.0
5.0	8541.0
6.0	6746.0
7.0	5726.0
8.0	5429.0
9.0	4240.0
10.0	3277.0
11.0	2904.0
12.0	2573.0
13.0	2383.0
14.0	2191.0
15.0	2102.0
16.0	1696.0
17.0	1316.0
18.0	1437.0
19.0	1445.0
20.0	1229.0
21.0	1008.0
22.0	1099.0
23.0	968.0
24.0	1037.0
25.0	1082.0
26.0	949.0
27.0	850.0
28.0	959.0
29.0	826.0
30.0	830.0
31.0	775.0
32.0	684.0
33.0	699.0
34.0	632.0
35.0	602.0
36.0	669.0
37.0	664.0
38.0	592.0
39.0	578.0
40.0	534.0
41.0	528.0
42.0	491.0
43.0	569.0
44.0	499.0
45.0	441.0
46.0	416.0
47.0	432.0
48.0	427.0
49.0	412.0
50.0	398.0
51.0	372.0
52.0	355.0
53.0	355.0
54.0	392.0
55.0	369.0
56.0	320.0
57.0	361.0
58.0	336.0
59.0	319.0
60.0	309.0
61.0	333.0
62.0	312.0
63.0	325.0
64.0	257.0
65.0	217.0
66.0	224.0
67.0	243.0
68.0	171.0
69.0	175.0
70.0	131.0
71.0	176.0
72.0	180.0
73.0	141.0
74.0	135.0
75.0	112.0
76.0	114.0
77.0	97.0
78.0	109.0
79.0	109.0
80.0	92.0
81.0	123.0
82.0	122.0
83.0	116.0
84.0	85.0
85.0	98.0
86.0	79.0
87.0	125.0
88.0	86.0
89.0	56.0
90.0	86.0
91.0	56.0
92.0	78.0
93.0	61.0
94.0	62.0
95.0	39.0
96.0	31.0
97.0	41.0
98.0	21.0
99.0	38.0
100.0	43.0
101.0	34.0
102.0	31.0
103.0	25.0
104.0	35.0
105.0	30.0
106.0	27.0
107.0	33.0
108.0	37.0
109.0	28.0
110.0	31.0
111.0	31.0
112.0	27.0
113.0	22.0
114.0	34.0
115.0	39.0
116.0	35.0
117.0	33.0
118.0	34.0
119.0	21.0
120.0	17.0
121.0	20.0
122.0	18.0
123.0	13.0
124.0	28.0
125.0	29.0
126.0	28.0
127.0	37.0
128.0	26.0
129.0	17.0
130.0	10.0
131.0	9.0
132.0	13.0
134.0	14.0
135.0	14.0
136.0	10.0
137.0	15.0
138.0	9.0
139.0	25.0
140.0	12.0
141.0	10.0
142.0	18.0
143.0	18.0
144.0	12.0
145.0	11.0
146.0	13.0
147.0	12.0
148.0	11.0
149.0	8.0
150.0	4.0
151.0	3.0
152.0	3.0
153.0	8.0
154.0	10.0
155.0	6.0
156.0	2.0
157.0	6.0
158.0	14.0
159.0	6.0
160.0	12.0
161.0	15.0
162.0	8.0
163.0	18.0
164.0	14.0
165.0	9.0
166.0	7.0
167.0	15.0
168.0	20.0
169.0	15.0
170.0	17.0
171.0	12.0
172.0	12.0
173.0	8.0
174.0	7.0
175.0	5.0
176.0	1.0
177.0	5.0
178.0	12.0
179.0	3.0
180.0	9.0
181.0	9.0
182.0	6.0
183.0	8.0
184.0	5.0
185.0	15.0
186.0	5.0
187.0	8.0
188.0	10.0
189.0	8.0
190.0	10.0
191.0	8.0
192.0	4.0
193.0	5.0
194.0	5.0
195.0	6.0
196.0	6.0
198.0	4.0
199.0	1.0
200.0	2.0
201.0	2.0
203.0	1.0
205.0	3.0
206.0	3.0
207.0	3.0
208.0	3.0
209.0	4.0
210.0	1.0
211.0	2.0
213.0	3.0
214.0	2.0
215.0	7.0
216.0	2.0
217.0	4.0
218.0	5.0
219.0	2.0
220.0	4.0
221.0	2.0
222.0	1.0
223.0	6.0
224.0	2.0
225.0	2.0
226.0	3.0
227.0	2.0
228.0	4.0
229.0	5.0
230.0	2.0
231.0	6.0
232.0	1.0
233.0	5.0
234.0	6.0
235.0	1.0
236.0	10.0
237.0	4.0
238.0	2.0
239.0	5.0
240.0	4.0
241.0	9.0
242.0	7.0
243.0	4.0
244.0	4.0
245.0	11.0
246.0	6.0
247.0	3.0
248.0	4.0
249.0	8.0
250.0	3.0
251.0	3.0
252.0	3.0
253.0	8.0
254.0	7.0
255.0	3.0
256.0	3.0
257.0	2.0
258.0	1.0
259.0	3.0
260.0	3.0
261.0	2.0
262.0	2.0
265.0	1.0
266.0	1.0
267.0	2.0
272.0	3.0
273.0	4.0
276.0	1.0
277.0	1.0
278.0	1.0
280.0	1.0
281.0	1.0
282.0	1.0
283.0	1.0
285.0	1.0
286.0	1.0
288.0	1.0
290.0	2.0
293.0	1.0
295.0	2.0
297.0	1.0
298.0	1.0
299.0	1.0
301.0	1.0
302.0	1.0
303.0	1.0
308.0	3.0
310.0	1.0
311.0	2.0
312.0	1.0
314.0	1.0
315.0	1.0
316.0	2.0
317.0	3.0
318.0	4.0
319.0	1.0
320.0	2.0
322.0	2.0
323.0	1.0
324.0	3.0
325.0	6.0
326.0	3.0
327.0	1.0
328.0	3.0
329.0	2.0
330.0	5.0
331.0	1.0
332.0	2.0
333.0	4.0
334.0	1.0
335.0	2.0
336.0	2.0
338.0	1.0
339.0	4.0
340.0	2.0
341.0	1.0
342.0	3.0
343.0	2.0
344.0	4.0
345.0	4.0
346.0	4.0
347.0	4.0
348.0	4.0
349.0	11.0
350.0	6.0
351.0	4.0
352.0	2.0
353.0	6.0
354.0	4.0
355.0	5.0
356.0	2.0
357.0	2.0
358.0	4.0
359.0	4.0
360.0	2.0
361.0	3.0
362.0	4.0
363.0	4.0
364.0	6.0
365.0	2.0
366.0	5.0
367.0	2.0
368.0	5.0
369.0	3.0
370.0	3.0
371.0	4.0
372.0	6.0
373.0	4.0
374.0	6.0
375.0	4.0
376.0	6.0
377.0	1.0
378.0	8.0
379.0	3.0
380.0	3.0
381.0	2.0
382.0	2.0
383.0	2.0
384.0	9.0
385.0	4.0
386.0	2.0
387.0	4.0
388.0	9.0
389.0	5.0
390.0	8.0
391.0	2.0
392.0	5.0
393.0	8.0
394.0	3.0
395.0	5.0
396.0	2.0
397.0	6.0
398.0	5.0
399.0	6.0
400.0	4.0
401.0	6.0
402.0	3.0
403.0	5.0
404.0	4.0
405.0	6.0
406.0	6.0
407.0	6.0
408.0	1.0
409.0	2.0
410.0	5.0
411.0	4.0
412.0	4.0
413.0	5.0
414.0	3.0
415.0	6.0
416.0	4.0
417.0	8.0
418.0	6.0
419.0	3.0
420.0	5.0
421.0	8.0
422.0	1.0
423.0	3.0
424.0	3.0
425.0	1.0
426.0	1.0
427.0	1.0
428.0	1.0
429.0	3.0
430.0	4.0
432.0	2.0
433.0	2.0
434.0	3.0
436.0	3.0
437.0	5.0
438.0	1.0
439.0	5.0
440.0	2.0
441.0	6.0
442.0	6.0
443.0	2.0
444.0	5.0
445.0	6.0
446.0	4.0
447.0	3.0
448.0	2.0
449.0	4.0
450.0	2.0
451.0	4.0
452.0	2.0
453.0	1.0
455.0	3.0
456.0	1.0
457.0	4.0
458.0	2.0
459.0	4.0
460.0	1.0
461.0	1.0
464.0	2.0
468.0	1.0
469.0	1.0
472.0	1.0
484.0	1.0
488.0	1.0
492.0	2.0
495.0	1.0
500.0	1.0
502.0	1.0
503.0	1.0
505.0	3.0
506.0	2.0
507.0	2.0
508.0	6.0
509.0	1.0
511.0	2.0
512.0	2.0
514.0	1.0
515.0	2.0
517.0	3.0
518.0	3.0
519.0	1.0
520.0	2.0
521.0	2.0
522.0	2.0
523.0	3.0
524.0	1.0
526.0	1.0
527.0	2.0
539.0	2.0
546.0	2.0
547.0	2.0
554.0	1.0
556.0	1.0
559.0	1.0
560.0	2.0
566.0	1.0
572.0	1.0
575.0	1.0
577.0	1.0
578.0	2.0
579.0	1.0
580.0	1.0
581.0	3.0
582.0	3.0
583.0	1.0
584.0	1.0
585.0	1.0
587.0	1.0
588.0	4.0
589.0	3.0
591.0	4.0
592.0	3.0
593.0	1.0
594.0	1.0
595.0	3.0
596.0	1.0
597.0	2.0
598.0	2.0
599.0	1.0
600.0	1.0
601.0	2.0
602.0	1.0
603.0	2.0
604.0	1.0
605.0	1.0
606.0	2.0
609.0	2.0
610.0	1.0
611.0	1.0
612.0	1.0
613.0	2.0
615.0	3.0
616.0	1.0
617.0	3.0
618.0	2.0
619.0	1.0
620.0	2.0
621.0	1.0
623.0	1.0
625.0	1.0
628.0	2.0
