#Read position (bp)	Clipping profile
0.0	22.97872340425532
1.0	12.825059101654846
2.0	8.617021276595745
3.0	6.300236406619384
4.0	4.468085106382979
5.0	3.5579196217494093
6.0	3.0732860520094563
7.0	2.3286052009456264
8.0	1.702127659574468
9.0	0.9810874704491725
10.0	0.8628841607565012
11.0	0.5673758865248227
12.0	0.41371158392434987
13.0	0.28368794326241137
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.01182033096926714
64.0	0.02364066193853428
65.0	0.04728132387706856
66.0	0.08274231678486997
67.0	0.10638297872340426
68.0	0.14184397163120568
69.0	0.3309692671394799
70.0	0.4728132387706856
71.0	0.9338061465721039
72.0	2.210401891252955
73.0	2.9905437352245863
74.0	6.82033096926714
75.0	16.86761229314421
