#Duplication rate	Coverage
1.0	6618.0
2.0	3208.0
3.0	1655.0
4.0	1011.0
5.0	612.0
6.0	483.0
7.0	260.0
8.0	260.0
9.0	167.0
10.0	162.0
11.0	116.0
12.0	135.0
13.0	91.0
14.0	84.0
15.0	83.0
16.0	70.0
17.0	61.0
18.0	56.0
19.0	50.0
20.0	45.0
21.0	51.0
22.0	30.0
23.0	38.0
24.0	32.0
25.0	38.0
26.0	31.0
27.0	26.0
28.0	24.0
29.0	19.0
30.0	24.0
31.0	18.0
32.0	18.0
33.0	19.0
34.0	21.0
35.0	12.0
36.0	9.0
37.0	10.0
38.0	14.0
39.0	11.0
40.0	11.0
41.0	12.0
42.0	2.0
43.0	10.0
44.0	6.0
45.0	13.0
46.0	3.0
47.0	5.0
48.0	7.0
49.0	6.0
50.0	115.0
