#Transcript position	Transcript coverage profile
0.0	3.733562102405748
1.0	5.86092117485399
2.0	6.145080465268721
3.0	5.308792526204049
4.0	6.302420264784172
5.0	7.42749286371158
6.0	7.262109860812082
7.0	7.7172121167934495
8.0	8.407498984695861
9.0	8.067294036961977
10.0	7.54573274222772
11.0	9.032028254775208
12.0	8.293310275024773
13.0	8.69395555829038
14.0	7.5399073631771625
15.0	7.665881389967022
16.0	6.527022697688058
17.0	5.108746176527225
18.0	4.37061121190505
19.0	4.292264156523704
20.0	4.069822074597716
21.0	4.5064558917562145
22.0	5.300011213826981
23.0	5.268435092866262
24.0	3.1233746991963516
25.0	4.306055137973802
26.0	5.1326730862766325
27.0	5.726518242876569
28.0	4.63027643019864
29.0	4.129217295449958
30.0	4.745529425966525
31.0	5.416839337704843
32.0	5.869253901379171
33.0	5.788183243147482
34.0	5.224825126741258
35.0	3.5146217312222525
36.0	1.8666323232467783
37.0	1.7276929803886403
38.0	2.153666666614382
39.0	4.126631933461652
40.0	6.420097499377025
41.0	5.094825504141372
42.0	2.3569546408743616
43.0	1.9856983978233615
44.0	2.0026332251142955
45.0	3.267398148538343
46.0	4.680174151343282
47.0	5.149980972292396
48.0	6.577982145252868
49.0	5.567497863919096
50.0	8.703334941369723
51.0	6.964680406147891
52.0	5.647682938752026
53.0	3.759215680062378
54.0	3.9500679414732747
55.0	4.18896017186349
56.0	2.2429865342521467
57.0	1.7550418944458999
58.0	2.2556338393404824
59.0	2.648212092514324
60.0	3.1849128954447394
61.0	4.146495418649885
62.0	4.5558380465144275
63.0	5.106607597130046
64.0	4.682676577240052
65.0	3.83090345330266
66.0	3.5903629423574595
67.0	3.696209929157297
68.0	3.1260195521970915
69.0	3.1690706997692666
70.0	3.445300479447197
71.0	3.2959948183455965
72.0	3.0398182674961456
73.0	3.2210553981472563
74.0	3.3982440294819383
75.0	3.6000862602701833
76.0	3.2750699268006156
77.0	3.8471729933043286
78.0	3.030457429955583
79.0	3.107700466661178
80.0	3.3078647928881364
81.0	3.5344521838050564
82.0	3.738155069737582
83.0	4.0182166238458255
84.0	3.9550684463926364
85.0	4.161839101552192
86.0	4.131887454322797
87.0	4.445509051134652
88.0	4.179423789837317
89.0	3.9138553317913174
90.0	3.6816557186509096
91.0	3.943571711002186
92.0	3.9603556563905595
93.0	3.6406572371389245
94.0	2.9634034002110634
95.0	2.2952944051066306
96.0	2.000875205040464
97.0	1.4721228379550433
98.0	0.26466528532748923
99.0	0.12516439413105013
