#Coverage	Number of genomic locations
0.0	5.1154027E7
1.0	46026.0
2.0	19395.0
3.0	11330.0
4.0	9785.0
5.0	6858.0
6.0	5617.0
7.0	4467.0
8.0	3697.0
9.0	3036.0
10.0	2541.0
11.0	2174.0
12.0	1835.0
13.0	1351.0
14.0	1101.0
15.0	1117.0
16.0	992.0
17.0	935.0
18.0	902.0
19.0	779.0
20.0	774.0
21.0	795.0
22.0	692.0
23.0	615.0
24.0	593.0
25.0	582.0
26.0	499.0
27.0	464.0
28.0	439.0
29.0	478.0
30.0	497.0
31.0	488.0
32.0	380.0
33.0	389.0
34.0	334.0
35.0	315.0
36.0	342.0
37.0	304.0
38.0	324.0
39.0	321.0
40.0	352.0
41.0	283.0
42.0	302.0
43.0	292.0
44.0	304.0
45.0	263.0
46.0	230.0
47.0	266.0
48.0	176.0
49.0	203.0
50.0	184.0
51.0	199.0
52.0	230.0
53.0	210.0
54.0	190.0
55.0	186.0
56.0	169.0
57.0	171.0
58.0	208.0
59.0	154.0
60.0	162.0
61.0	188.0
62.0	181.0
63.0	182.0
64.0	142.0
65.0	133.0
66.0	165.0
67.0	184.0
68.0	176.0
69.0	163.0
70.0	125.0
71.0	169.0
72.0	174.0
73.0	148.0
74.0	97.0
75.0	108.0
76.0	98.0
77.0	129.0
78.0	141.0
79.0	110.0
80.0	149.0
81.0	110.0
82.0	110.0
83.0	120.0
84.0	131.0
85.0	158.0
86.0	139.0
87.0	129.0
88.0	155.0
89.0	114.0
90.0	117.0
91.0	97.0
92.0	116.0
93.0	106.0
94.0	115.0
95.0	76.0
96.0	75.0
97.0	67.0
98.0	80.0
99.0	79.0
100.0	81.0
101.0	79.0
102.0	85.0
103.0	81.0
104.0	76.0
105.0	62.0
106.0	75.0
107.0	92.0
108.0	71.0
109.0	71.0
110.0	83.0
111.0	83.0
112.0	88.0
113.0	87.0
114.0	76.0
115.0	67.0
116.0	72.0
117.0	68.0
118.0	48.0
119.0	47.0
120.0	51.0
121.0	62.0
122.0	64.0
123.0	54.0
124.0	69.0
125.0	46.0
126.0	53.0
127.0	42.0
128.0	44.0
129.0	40.0
130.0	43.0
131.0	41.0
132.0	34.0
133.0	31.0
134.0	39.0
135.0	46.0
136.0	28.0
137.0	39.0
138.0	42.0
139.0	40.0
140.0	55.0
141.0	30.0
142.0	28.0
143.0	26.0
144.0	26.0
145.0	14.0
146.0	18.0
147.0	24.0
148.0	19.0
149.0	16.0
150.0	16.0
151.0	19.0
152.0	22.0
153.0	9.0
154.0	18.0
155.0	21.0
156.0	35.0
157.0	18.0
158.0	18.0
159.0	18.0
160.0	23.0
161.0	15.0
162.0	20.0
163.0	15.0
164.0	12.0
165.0	20.0
166.0	13.0
167.0	9.0
168.0	16.0
169.0	25.0
170.0	23.0
171.0	18.0
172.0	16.0
173.0	15.0
174.0	19.0
175.0	21.0
176.0	11.0
177.0	17.0
178.0	18.0
179.0	31.0
180.0	28.0
181.0	21.0
182.0	26.0
183.0	12.0
184.0	10.0
185.0	10.0
186.0	12.0
187.0	26.0
188.0	21.0
189.0	11.0
190.0	14.0
191.0	8.0
192.0	15.0
193.0	13.0
194.0	9.0
195.0	9.0
196.0	11.0
197.0	12.0
198.0	7.0
199.0	22.0
200.0	16.0
201.0	10.0
202.0	9.0
203.0	10.0
204.0	13.0
205.0	9.0
206.0	11.0
207.0	7.0
208.0	6.0
209.0	17.0
210.0	16.0
211.0	11.0
212.0	17.0
213.0	9.0
214.0	24.0
215.0	4.0
216.0	13.0
217.0	7.0
218.0	16.0
219.0	15.0
220.0	13.0
221.0	21.0
222.0	7.0
223.0	9.0
224.0	15.0
225.0	9.0
226.0	8.0
227.0	10.0
228.0	11.0
229.0	9.0
230.0	8.0
231.0	11.0
232.0	16.0
233.0	14.0
234.0	24.0
235.0	12.0
236.0	9.0
237.0	13.0
238.0	11.0
239.0	5.0
240.0	3.0
241.0	13.0
242.0	12.0
243.0	9.0
244.0	11.0
245.0	4.0
246.0	11.0
247.0	4.0
248.0	7.0
249.0	7.0
250.0	12.0
251.0	10.0
252.0	7.0
253.0	5.0
254.0	18.0
255.0	13.0
256.0	12.0
257.0	7.0
258.0	11.0
259.0	17.0
260.0	11.0
261.0	8.0
262.0	9.0
263.0	6.0
264.0	9.0
265.0	11.0
266.0	10.0
267.0	9.0
268.0	5.0
269.0	14.0
270.0	11.0
271.0	7.0
272.0	4.0
273.0	8.0
274.0	10.0
275.0	7.0
276.0	7.0
277.0	9.0
278.0	7.0
279.0	6.0
280.0	5.0
281.0	6.0
282.0	8.0
283.0	8.0
284.0	16.0
285.0	20.0
286.0	10.0
287.0	8.0
288.0	9.0
289.0	8.0
290.0	5.0
291.0	7.0
292.0	7.0
293.0	9.0
294.0	5.0
295.0	4.0
296.0	6.0
297.0	5.0
298.0	10.0
299.0	10.0
300.0	17.0
301.0	7.0
302.0	6.0
303.0	12.0
304.0	11.0
305.0	9.0
306.0	4.0
307.0	12.0
308.0	16.0
309.0	14.0
310.0	8.0
311.0	7.0
312.0	9.0
313.0	13.0
314.0	16.0
315.0	7.0
316.0	13.0
317.0	9.0
318.0	10.0
319.0	4.0
320.0	10.0
321.0	13.0
322.0	7.0
323.0	14.0
324.0	13.0
325.0	7.0
326.0	8.0
327.0	4.0
328.0	3.0
329.0	5.0
330.0	10.0
331.0	6.0
332.0	9.0
333.0	16.0
334.0	7.0
335.0	15.0
336.0	12.0
337.0	9.0
338.0	9.0
339.0	7.0
340.0	4.0
341.0	8.0
342.0	5.0
343.0	5.0
344.0	3.0
345.0	7.0
346.0	3.0
347.0	5.0
348.0	2.0
349.0	5.0
350.0	2.0
351.0	6.0
353.0	8.0
354.0	4.0
355.0	5.0
356.0	5.0
357.0	3.0
358.0	2.0
359.0	2.0
360.0	3.0
361.0	5.0
362.0	6.0
363.0	6.0
364.0	3.0
365.0	4.0
366.0	6.0
367.0	9.0
368.0	5.0
369.0	4.0
370.0	4.0
371.0	3.0
372.0	2.0
373.0	2.0
374.0	4.0
375.0	6.0
376.0	8.0
377.0	4.0
378.0	5.0
379.0	10.0
380.0	12.0
381.0	7.0
382.0	6.0
383.0	7.0
384.0	10.0
385.0	1.0
386.0	6.0
387.0	8.0
388.0	5.0
389.0	11.0
390.0	9.0
391.0	9.0
392.0	4.0
393.0	3.0
394.0	4.0
395.0	3.0
396.0	3.0
397.0	4.0
398.0	2.0
399.0	2.0
400.0	6.0
401.0	3.0
402.0	8.0
403.0	6.0
404.0	6.0
405.0	4.0
406.0	4.0
407.0	3.0
408.0	7.0
409.0	2.0
410.0	7.0
411.0	5.0
412.0	3.0
413.0	9.0
414.0	3.0
415.0	2.0
416.0	8.0
417.0	4.0
418.0	2.0
419.0	4.0
420.0	8.0
421.0	1.0
422.0	8.0
423.0	3.0
424.0	3.0
425.0	7.0
426.0	6.0
427.0	5.0
428.0	11.0
429.0	4.0
430.0	9.0
431.0	6.0
432.0	6.0
433.0	7.0
434.0	4.0
435.0	8.0
436.0	4.0
437.0	1.0
438.0	3.0
439.0	9.0
440.0	5.0
441.0	5.0
442.0	3.0
443.0	3.0
444.0	5.0
445.0	2.0
446.0	7.0
447.0	3.0
448.0	7.0
449.0	3.0
450.0	5.0
451.0	3.0
452.0	8.0
453.0	9.0
454.0	8.0
455.0	3.0
456.0	2.0
457.0	4.0
458.0	1.0
459.0	4.0
460.0	2.0
461.0	3.0
463.0	4.0
464.0	4.0
465.0	2.0
466.0	4.0
467.0	3.0
468.0	2.0
469.0	2.0
470.0	4.0
471.0	2.0
472.0	2.0
473.0	7.0
474.0	4.0
475.0	7.0
476.0	4.0
477.0	4.0
478.0	4.0
479.0	3.0
481.0	3.0
482.0	5.0
483.0	2.0
484.0	1.0
485.0	6.0
486.0	2.0
487.0	2.0
488.0	2.0
489.0	1.0
490.0	5.0
491.0	2.0
492.0	2.0
493.0	2.0
495.0	2.0
497.0	3.0
498.0	3.0
499.0	1.0
500.0	1.0
501.0	5.0
502.0	3.0
503.0	1.0
504.0	1.0
506.0	1.0
507.0	1.0
508.0	2.0
510.0	2.0
511.0	3.0
