#Insert size (bp)	insert size
52.0	2.0
53.0	2.0
54.0	1.0
55.0	2.0
57.0	3.0
58.0	1.0
59.0	2.0
60.0	7.0
62.0	2.0
63.0	2.0
64.0	7.0
65.0	3.0
66.0	1.0
67.0	4.0
68.0	9.0
69.0	3.0
70.0	1.0
71.0	5.0
72.0	2.0
74.0	4.0
75.0	5.0
76.0	321.0
77.0	5.0
78.0	3.0
79.0	4.0
80.0	4.0
81.0	1.0
82.0	4.0
83.0	2.0
84.0	1.0
85.0	7.0
86.0	2.0
87.0	8.0
88.0	3.0
89.0	1.0
90.0	2.0
91.0	9.0
92.0	5.0
93.0	3.0
94.0	2.0
95.0	4.0
96.0	2.0
97.0	6.0
98.0	3.0
99.0	5.0
100.0	4.0
101.0	2.0
102.0	1.0
103.0	6.0
104.0	3.0
105.0	1.0
106.0	8.0
107.0	1.0
108.0	6.0
109.0	2.0
110.0	5.0
111.0	3.0
112.0	5.0
113.0	5.0
114.0	6.0
115.0	7.0
116.0	8.0
117.0	3.0
118.0	3.0
119.0	5.0
120.0	3.0
121.0	3.0
122.0	6.0
123.0	2.0
124.0	2.0
125.0	4.0
126.0	4.0
127.0	5.0
128.0	4.0
129.0	6.0
130.0	8.0
131.0	9.0
132.0	11.0
133.0	8.0
134.0	6.0
135.0	11.0
136.0	9.0
137.0	14.0
138.0	9.0
139.0	6.0
140.0	11.0
141.0	11.0
142.0	8.0
143.0	6.0
144.0	6.0
145.0	5.0
146.0	11.0
147.0	10.0
148.0	8.0
149.0	2.0
150.0	4.0
151.0	9.0
152.0	4.0
153.0	10.0
154.0	15.0
155.0	5.0
156.0	6.0
157.0	8.0
158.0	8.0
159.0	8.0
160.0	7.0
161.0	5.0
162.0	7.0
163.0	5.0
164.0	6.0
165.0	12.0
166.0	6.0
167.0	13.0
168.0	11.0
169.0	12.0
170.0	23.0
171.0	20.0
172.0	17.0
173.0	26.0
174.0	37.0
175.0	24.0
176.0	27.0
177.0	22.0
178.0	16.0
179.0	16.0
180.0	19.0
181.0	26.0
182.0	25.0
183.0	29.0
184.0	16.0
185.0	22.0
186.0	26.0
187.0	36.0
188.0	31.0
189.0	30.0
190.0	23.0
191.0	30.0
192.0	20.0
193.0	33.0
194.0	25.0
195.0	20.0
196.0	28.0
197.0	20.0
198.0	17.0
199.0	14.0
200.0	18.0
201.0	14.0
202.0	18.0
203.0	15.0
204.0	16.0
205.0	18.0
206.0	23.0
207.0	14.0
208.0	6.0
209.0	17.0
210.0	17.0
211.0	17.0
212.0	11.0
213.0	14.0
214.0	15.0
215.0	12.0
216.0	9.0
217.0	18.0
218.0	18.0
219.0	19.0
220.0	23.0
221.0	21.0
222.0	29.0
223.0	30.0
224.0	40.0
225.0	48.0
226.0	56.0
227.0	56.0
228.0	67.0
229.0	63.0
230.0	80.0
231.0	99.0
232.0	108.0
233.0	109.0
234.0	93.0
235.0	108.0
236.0	115.0
237.0	109.0
238.0	154.0
239.0	167.0
240.0	181.0
241.0	204.0
242.0	210.0
243.0	225.0
244.0	229.0
245.0	255.0
246.0	272.0
247.0	317.0
248.0	287.0
249.0	334.0
250.0	312.0
251.0	360.0
252.0	378.0
253.0	367.0
254.0	395.0
255.0	392.0
256.0	375.0
257.0	421.0
258.0	447.0
259.0	425.0
260.0	390.0
261.0	415.0
262.0	462.0
263.0	512.0
264.0	467.0
265.0	459.0
266.0	484.0
267.0	444.0
268.0	480.0
269.0	444.0
270.0	421.0
271.0	356.0
272.0	364.0
273.0	440.0
274.0	401.0
275.0	356.0
276.0	360.0
277.0	297.0
278.0	313.0
279.0	314.0
280.0	260.0
281.0	235.0
282.0	272.0
283.0	255.0
284.0	231.0
285.0	187.0
286.0	205.0
287.0	165.0
288.0	135.0
289.0	135.0
290.0	129.0
291.0	135.0
292.0	132.0
293.0	88.0
294.0	89.0
295.0	75.0
296.0	72.0
297.0	64.0
298.0	65.0
299.0	58.0
300.0	46.0
301.0	54.0
302.0	44.0
303.0	25.0
304.0	38.0
305.0	39.0
306.0	38.0
307.0	18.0
308.0	27.0
309.0	18.0
310.0	18.0
311.0	20.0
312.0	26.0
313.0	13.0
314.0	25.0
315.0	8.0
316.0	11.0
317.0	9.0
318.0	8.0
319.0	11.0
320.0	3.0
321.0	9.0
322.0	3.0
324.0	2.0
325.0	1.0
326.0	1.0
327.0	4.0
328.0	3.0
329.0	1.0
330.0	4.0
331.0	2.0
332.0	5.0
342.0	1.0
343.0	2.0
344.0	3.0
345.0	2.0
346.0	4.0
347.0	5.0
348.0	2.0
349.0	4.0
350.0	3.0
351.0	6.0
352.0	5.0
353.0	3.0
354.0	2.0
355.0	4.0
357.0	7.0
358.0	6.0
359.0	1.0
360.0	13.0
361.0	9.0
362.0	9.0
363.0	9.0
364.0	4.0
365.0	3.0
366.0	4.0
367.0	9.0
368.0	5.0
369.0	8.0
370.0	5.0
371.0	5.0
372.0	4.0
373.0	5.0
374.0	5.0
375.0	2.0
376.0	5.0
377.0	5.0
378.0	4.0
379.0	4.0
380.0	3.0
381.0	3.0
382.0	4.0
383.0	4.0
384.0	7.0
385.0	3.0
386.0	2.0
387.0	3.0
388.0	2.0
390.0	4.0
391.0	5.0
393.0	2.0
395.0	2.0
396.0	1.0
397.0	3.0
398.0	1.0
399.0	1.0
400.0	3.0
401.0	1.0
402.0	2.0
403.0	1.0
404.0	1.0
405.0	2.0
407.0	1.0
412.0	1.0
417.0	1.0
422.0	2.0
426.0	3.0
427.0	1.0
429.0	1.0
431.0	1.0
433.0	2.0
434.0	1.0
435.0	2.0
437.0	1.0
438.0	2.0
439.0	1.0
440.0	3.0
441.0	2.0
443.0	1.0
447.0	1.0
451.0	1.0
452.0	1.0
453.0	1.0
454.0	1.0
470.0	1.0
472.0	1.0
475.0	1.0
476.0	1.0
481.0	2.0
486.0	1.0
487.0	2.0
488.0	2.0
493.0	1.0
494.0	1.0
495.0	2.0
498.0	1.0
499.0	2.0
503.0	1.0
505.0	1.0
506.0	1.0
508.0	2.0
512.0	2.0
513.0	1.0
514.0	2.0
515.0	5.0
516.0	7.0
517.0	4.0
518.0	4.0
519.0	3.0
520.0	1.0
521.0	2.0
522.0	5.0
524.0	1.0
525.0	1.0
527.0	2.0
528.0	2.0
530.0	1.0
531.0	2.0
535.0	1.0
537.0	1.0
540.0	1.0
544.0	1.0
547.0	2.0
548.0	1.0
549.0	1.0
