#Read position (bp)	Clipping profile
0.0	25.044270174550974
1.0	13.337971161143436
2.0	9.258790791803694
3.0	7.070579306855553
4.0	5.236529218315203
5.0	4.46496331899823
6.0	3.6175056918795847
7.0	2.4728054642044017
8.0	1.8340500885403492
9.0	1.3028079939286616
10.0	1.037186946622818
11.0	0.6893498608651657
12.0	0.5438907159119656
13.0	0.17708069820389577
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.006324310650139134
44.0	0.006324310650139134
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.006324310650139134
51.0	0.006324310650139134
52.0	0.006324310650139134
53.0	0.006324310650139134
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.006324310650139134
64.0	0.012648621300278268
65.0	0.018972931950417403
66.0	0.037945863900834806
67.0	0.012648621300278268
68.0	0.06324310650139134
69.0	0.2719453579559828
70.0	0.4363774348596003
71.0	0.9107007336200355
72.0	1.410321274981027
73.0	1.9036175056918796
74.0	4.332152795345308
75.0	14.457374146218063
