#Coverage	Number of genomic locations
0.0	5.1009905E7
1.0	99090.0
2.0	42073.0
3.0	21332.0
4.0	14524.0
5.0	10455.0
6.0	8583.0
7.0	7088.0
8.0	5320.0
9.0	4619.0
10.0	4039.0
11.0	3728.0
12.0	3124.0
13.0	2952.0
14.0	2639.0
15.0	2506.0
16.0	1951.0
17.0	1861.0
18.0	1864.0
19.0	1779.0
20.0	1585.0
21.0	1449.0
22.0	1536.0
23.0	1436.0
24.0	1311.0
25.0	1284.0
26.0	1252.0
27.0	1155.0
28.0	1184.0
29.0	1086.0
30.0	1061.0
31.0	1098.0
32.0	1084.0
33.0	1038.0
34.0	1086.0
35.0	1036.0
36.0	970.0
37.0	965.0
38.0	867.0
39.0	788.0
40.0	842.0
41.0	651.0
42.0	784.0
43.0	761.0
44.0	706.0
45.0	712.0
46.0	662.0
47.0	575.0
48.0	613.0
49.0	632.0
50.0	570.0
51.0	532.0
52.0	534.0
53.0	549.0
54.0	519.0
55.0	430.0
56.0	461.0
57.0	463.0
58.0	476.0
59.0	425.0
60.0	356.0
61.0	341.0
62.0	379.0
63.0	391.0
64.0	408.0
65.0	389.0
66.0	353.0
67.0	278.0
68.0	287.0
69.0	265.0
70.0	247.0
71.0	195.0
72.0	174.0
73.0	207.0
74.0	195.0
75.0	177.0
76.0	234.0
77.0	203.0
78.0	238.0
79.0	183.0
80.0	189.0
81.0	184.0
82.0	174.0
83.0	179.0
84.0	176.0
85.0	152.0
86.0	167.0
87.0	172.0
88.0	193.0
89.0	172.0
90.0	181.0
91.0	151.0
92.0	170.0
93.0	145.0
94.0	134.0
95.0	167.0
96.0	132.0
97.0	92.0
98.0	120.0
99.0	124.0
100.0	105.0
101.0	138.0
102.0	116.0
103.0	70.0
104.0	110.0
105.0	92.0
106.0	103.0
107.0	92.0
108.0	97.0
109.0	111.0
110.0	97.0
111.0	95.0
112.0	129.0
113.0	102.0
114.0	122.0
115.0	117.0
116.0	106.0
117.0	142.0
118.0	105.0
119.0	92.0
120.0	137.0
121.0	109.0
122.0	126.0
123.0	118.0
124.0	80.0
125.0	102.0
126.0	104.0
127.0	81.0
128.0	106.0
129.0	93.0
130.0	97.0
131.0	105.0
132.0	77.0
133.0	59.0
134.0	59.0
135.0	91.0
136.0	73.0
137.0	71.0
138.0	70.0
139.0	41.0
140.0	57.0
141.0	65.0
142.0	71.0
143.0	60.0
144.0	42.0
145.0	61.0
146.0	57.0
147.0	59.0
148.0	66.0
149.0	69.0
150.0	44.0
151.0	62.0
152.0	72.0
153.0	79.0
154.0	75.0
155.0	84.0
156.0	75.0
157.0	85.0
158.0	101.0
159.0	82.0
160.0	88.0
161.0	69.0
162.0	89.0
163.0	70.0
164.0	76.0
165.0	74.0
166.0	86.0
167.0	63.0
168.0	60.0
169.0	57.0
170.0	59.0
171.0	50.0
172.0	52.0
173.0	42.0
174.0	46.0
175.0	39.0
176.0	42.0
177.0	25.0
178.0	37.0
179.0	30.0
180.0	35.0
181.0	35.0
182.0	39.0
183.0	37.0
184.0	44.0
185.0	37.0
186.0	33.0
187.0	26.0
188.0	34.0
189.0	23.0
190.0	43.0
191.0	34.0
192.0	20.0
193.0	35.0
194.0	25.0
195.0	32.0
196.0	29.0
197.0	26.0
198.0	28.0
199.0	38.0
200.0	28.0
201.0	28.0
202.0	23.0
203.0	28.0
204.0	35.0
205.0	28.0
206.0	25.0
207.0	21.0
208.0	23.0
209.0	32.0
210.0	20.0
211.0	19.0
212.0	24.0
213.0	22.0
214.0	28.0
215.0	29.0
216.0	25.0
217.0	20.0
218.0	25.0
219.0	23.0
220.0	16.0
221.0	15.0
222.0	18.0
223.0	16.0
224.0	19.0
225.0	16.0
226.0	11.0
227.0	13.0
228.0	6.0
229.0	8.0
230.0	6.0
231.0	13.0
232.0	12.0
233.0	17.0
234.0	17.0
235.0	12.0
236.0	14.0
237.0	13.0
238.0	13.0
239.0	12.0
240.0	11.0
241.0	9.0
242.0	15.0
243.0	4.0
244.0	10.0
245.0	7.0
246.0	7.0
247.0	4.0
248.0	2.0
249.0	7.0
250.0	8.0
251.0	6.0
252.0	12.0
253.0	8.0
254.0	9.0
255.0	5.0
256.0	10.0
257.0	6.0
258.0	10.0
259.0	13.0
260.0	6.0
261.0	6.0
262.0	6.0
263.0	13.0
264.0	9.0
265.0	14.0
266.0	7.0
267.0	8.0
268.0	6.0
269.0	5.0
270.0	5.0
271.0	7.0
272.0	8.0
273.0	4.0
274.0	7.0
275.0	8.0
276.0	9.0
277.0	8.0
278.0	4.0
279.0	13.0
280.0	10.0
281.0	12.0
282.0	19.0
283.0	15.0
284.0	11.0
285.0	19.0
286.0	14.0
287.0	14.0
288.0	9.0
289.0	3.0
290.0	4.0
291.0	10.0
292.0	10.0
293.0	11.0
294.0	9.0
295.0	9.0
296.0	5.0
297.0	7.0
298.0	8.0
299.0	10.0
300.0	8.0
301.0	7.0
302.0	5.0
303.0	6.0
304.0	6.0
305.0	14.0
306.0	10.0
307.0	10.0
308.0	7.0
309.0	6.0
310.0	3.0
311.0	11.0
312.0	6.0
313.0	7.0
314.0	12.0
315.0	6.0
316.0	7.0
317.0	5.0
318.0	2.0
319.0	7.0
320.0	10.0
321.0	10.0
322.0	9.0
323.0	11.0
324.0	10.0
325.0	9.0
326.0	12.0
327.0	11.0
328.0	9.0
329.0	6.0
330.0	7.0
331.0	8.0
332.0	16.0
333.0	14.0
334.0	10.0
335.0	13.0
336.0	9.0
337.0	18.0
338.0	13.0
339.0	13.0
340.0	8.0
341.0	9.0
342.0	10.0
343.0	10.0
344.0	12.0
345.0	10.0
346.0	2.0
347.0	5.0
348.0	3.0
349.0	10.0
350.0	5.0
351.0	2.0
352.0	10.0
353.0	11.0
354.0	7.0
355.0	17.0
356.0	8.0
357.0	9.0
358.0	10.0
359.0	4.0
360.0	9.0
361.0	11.0
362.0	11.0
363.0	7.0
364.0	9.0
365.0	6.0
366.0	9.0
367.0	7.0
368.0	5.0
369.0	10.0
370.0	9.0
371.0	6.0
372.0	7.0
373.0	4.0
374.0	13.0
375.0	8.0
376.0	9.0
377.0	11.0
378.0	4.0
379.0	8.0
380.0	7.0
381.0	7.0
382.0	7.0
383.0	8.0
384.0	6.0
385.0	7.0
386.0	10.0
387.0	7.0
388.0	5.0
389.0	9.0
390.0	9.0
391.0	11.0
392.0	3.0
393.0	7.0
394.0	5.0
395.0	2.0
396.0	9.0
397.0	8.0
398.0	6.0
399.0	2.0
400.0	4.0
401.0	6.0
402.0	3.0
403.0	5.0
404.0	7.0
405.0	5.0
406.0	12.0
407.0	9.0
408.0	7.0
409.0	3.0
410.0	7.0
411.0	6.0
412.0	6.0
413.0	9.0
414.0	8.0
415.0	7.0
416.0	7.0
417.0	10.0
418.0	9.0
419.0	13.0
420.0	8.0
421.0	4.0
422.0	10.0
423.0	5.0
424.0	1.0
425.0	3.0
426.0	8.0
427.0	6.0
428.0	2.0
429.0	10.0
430.0	2.0
431.0	3.0
432.0	7.0
433.0	7.0
434.0	9.0
435.0	8.0
436.0	7.0
437.0	5.0
438.0	5.0
439.0	5.0
440.0	8.0
441.0	11.0
442.0	9.0
443.0	8.0
444.0	9.0
445.0	3.0
446.0	5.0
447.0	2.0
448.0	7.0
449.0	5.0
450.0	7.0
451.0	7.0
452.0	6.0
453.0	4.0
454.0	7.0
455.0	7.0
456.0	2.0
457.0	7.0
458.0	6.0
459.0	6.0
460.0	5.0
461.0	8.0
462.0	6.0
463.0	9.0
464.0	11.0
465.0	7.0
466.0	7.0
467.0	6.0
468.0	6.0
469.0	9.0
470.0	7.0
471.0	7.0
472.0	12.0
473.0	5.0
474.0	8.0
475.0	8.0
476.0	7.0
477.0	6.0
478.0	10.0
479.0	11.0
480.0	9.0
481.0	7.0
482.0	9.0
483.0	6.0
484.0	1.0
485.0	5.0
486.0	9.0
487.0	12.0
488.0	4.0
489.0	8.0
490.0	2.0
491.0	7.0
492.0	5.0
493.0	4.0
494.0	8.0
495.0	8.0
496.0	4.0
497.0	8.0
498.0	7.0
499.0	3.0
500.0	4.0
501.0	1.0
502.0	1.0
503.0	4.0
504.0	3.0
505.0	7.0
506.0	3.0
507.0	6.0
508.0	9.0
509.0	4.0
510.0	6.0
511.0	3.0
512.0	1.0
513.0	2.0
514.0	5.0
515.0	5.0
516.0	4.0
517.0	6.0
518.0	5.0
519.0	4.0
520.0	8.0
521.0	8.0
522.0	4.0
523.0	5.0
524.0	7.0
525.0	4.0
526.0	8.0
527.0	8.0
528.0	5.0
529.0	2.0
530.0	10.0
531.0	11.0
532.0	11.0
533.0	6.0
534.0	7.0
535.0	6.0
536.0	6.0
537.0	7.0
538.0	5.0
539.0	4.0
540.0	10.0
541.0	10.0
542.0	9.0
543.0	5.0
544.0	7.0
545.0	5.0
546.0	6.0
547.0	5.0
548.0	7.0
549.0	4.0
550.0	7.0
551.0	10.0
552.0	2.0
553.0	4.0
554.0	4.0
555.0	8.0
556.0	6.0
557.0	10.0
558.0	7.0
559.0	8.0
560.0	6.0
561.0	2.0
562.0	7.0
563.0	9.0
564.0	5.0
565.0	3.0
566.0	3.0
567.0	5.0
568.0	7.0
569.0	9.0
570.0	9.0
571.0	9.0
572.0	10.0
573.0	6.0
574.0	12.0
575.0	6.0
576.0	6.0
577.0	9.0
578.0	6.0
579.0	7.0
580.0	7.0
581.0	8.0
582.0	8.0
583.0	9.0
584.0	4.0
585.0	8.0
586.0	7.0
587.0	8.0
588.0	4.0
589.0	8.0
590.0	9.0
