#Duplication rate	Coverage
1.0	20664.0
2.0	6575.0
3.0	2656.0
4.0	1360.0
5.0	693.0
6.0	473.0
7.0	310.0
8.0	264.0
9.0	185.0
10.0	176.0
11.0	118.0
12.0	96.0
13.0	60.0
14.0	60.0
15.0	37.0
16.0	33.0
17.0	26.0
18.0	29.0
19.0	19.0
20.0	16.0
21.0	19.0
22.0	16.0
23.0	10.0
24.0	9.0
25.0	12.0
26.0	14.0
27.0	9.0
28.0	11.0
29.0	8.0
30.0	5.0
31.0	3.0
32.0	11.0
33.0	3.0
34.0	3.0
35.0	1.0
36.0	4.0
37.0	6.0
38.0	1.0
39.0	3.0
40.0	4.0
41.0	1.0
42.0	2.0
43.0	0.0
44.0	4.0
45.0	2.0
46.0	0.0
47.0	3.0
48.0	1.0
49.0	0.0
50.0	28.0
