#Insert size (bp)	insert size
31.0	1.0
36.0	1.0
37.0	1.0
38.0	1.0
40.0	2.0
41.0	2.0
42.0	1.0
43.0	2.0
44.0	1.0
45.0	4.0
46.0	1.0
47.0	1.0
48.0	1.0
49.0	2.0
50.0	2.0
51.0	5.0
52.0	5.0
53.0	7.0
54.0	4.0
55.0	9.0
56.0	3.0
57.0	5.0
58.0	4.0
59.0	4.0
61.0	5.0
62.0	1.0
63.0	1.0
64.0	6.0
65.0	4.0
66.0	2.0
67.0	1.0
68.0	4.0
69.0	3.0
70.0	3.0
71.0	1.0
72.0	6.0
73.0	4.0
74.0	2.0
75.0	2.0
76.0	517.0
77.0	7.0
78.0	3.0
79.0	3.0
80.0	2.0
81.0	2.0
82.0	3.0
83.0	7.0
84.0	4.0
85.0	5.0
86.0	11.0
87.0	8.0
88.0	10.0
89.0	6.0
90.0	7.0
91.0	7.0
92.0	3.0
93.0	10.0
94.0	12.0
95.0	9.0
96.0	22.0
97.0	5.0
98.0	12.0
99.0	9.0
100.0	10.0
101.0	7.0
102.0	6.0
103.0	9.0
104.0	9.0
105.0	8.0
106.0	7.0
107.0	8.0
108.0	11.0
109.0	11.0
110.0	19.0
111.0	8.0
112.0	7.0
113.0	16.0
114.0	10.0
115.0	12.0
116.0	8.0
117.0	6.0
118.0	10.0
119.0	6.0
120.0	12.0
121.0	8.0
122.0	10.0
123.0	9.0
124.0	12.0
125.0	21.0
126.0	16.0
127.0	11.0
128.0	17.0
129.0	8.0
130.0	18.0
131.0	17.0
132.0	11.0
133.0	14.0
134.0	13.0
135.0	8.0
136.0	12.0
137.0	12.0
138.0	14.0
139.0	12.0
140.0	19.0
141.0	13.0
142.0	11.0
143.0	5.0
144.0	6.0
145.0	4.0
146.0	13.0
147.0	5.0
148.0	10.0
149.0	13.0
150.0	14.0
151.0	7.0
152.0	5.0
153.0	15.0
154.0	8.0
155.0	17.0
156.0	19.0
157.0	8.0
158.0	15.0
159.0	13.0
160.0	11.0
161.0	16.0
162.0	10.0
163.0	16.0
164.0	20.0
165.0	13.0
166.0	21.0
167.0	14.0
168.0	11.0
169.0	12.0
170.0	9.0
171.0	12.0
172.0	15.0
173.0	14.0
174.0	16.0
175.0	8.0
176.0	15.0
177.0	9.0
178.0	14.0
179.0	15.0
180.0	16.0
181.0	10.0
182.0	8.0
183.0	18.0
184.0	15.0
185.0	18.0
186.0	14.0
187.0	11.0
188.0	17.0
189.0	19.0
190.0	26.0
191.0	34.0
192.0	40.0
193.0	46.0
194.0	45.0
195.0	42.0
196.0	47.0
197.0	51.0
198.0	76.0
199.0	79.0
200.0	122.0
201.0	89.0
202.0	118.0
203.0	108.0
204.0	129.0
205.0	145.0
206.0	183.0
207.0	175.0
208.0	212.0
209.0	210.0
210.0	235.0
211.0	230.0
212.0	251.0
213.0	281.0
214.0	300.0
215.0	333.0
216.0	324.0
217.0	351.0
218.0	357.0
219.0	342.0
220.0	357.0
221.0	416.0
222.0	423.0
223.0	434.0
224.0	459.0
225.0	465.0
226.0	516.0
227.0	500.0
228.0	477.0
229.0	510.0
230.0	546.0
231.0	519.0
232.0	547.0
233.0	574.0
234.0	572.0
235.0	569.0
236.0	547.0
237.0	594.0
238.0	565.0
239.0	609.0
240.0	619.0
241.0	546.0
242.0	587.0
243.0	610.0
244.0	564.0
245.0	583.0
246.0	548.0
247.0	508.0
248.0	537.0
249.0	500.0
250.0	473.0
251.0	509.0
252.0	472.0
253.0	447.0
254.0	467.0
255.0	417.0
256.0	412.0
257.0	349.0
258.0	364.0
259.0	342.0
260.0	310.0
261.0	283.0
262.0	296.0
263.0	261.0
264.0	215.0
265.0	221.0
266.0	210.0
267.0	160.0
268.0	163.0
269.0	147.0
270.0	126.0
271.0	123.0
272.0	102.0
273.0	99.0
274.0	86.0
275.0	82.0
276.0	78.0
277.0	70.0
278.0	57.0
279.0	57.0
280.0	37.0
281.0	35.0
282.0	42.0
283.0	27.0
284.0	19.0
285.0	26.0
286.0	24.0
287.0	22.0
288.0	8.0
289.0	19.0
290.0	9.0
291.0	7.0
292.0	8.0
293.0	9.0
294.0	7.0
295.0	5.0
296.0	6.0
297.0	4.0
298.0	2.0
299.0	3.0
300.0	7.0
301.0	4.0
302.0	1.0
303.0	1.0
304.0	2.0
305.0	1.0
306.0	5.0
307.0	5.0
308.0	1.0
309.0	2.0
310.0	1.0
311.0	2.0
315.0	1.0
317.0	3.0
319.0	2.0
320.0	5.0
321.0	1.0
322.0	1.0
323.0	2.0
325.0	2.0
326.0	3.0
328.0	2.0
331.0	2.0
332.0	2.0
333.0	1.0
334.0	3.0
335.0	2.0
336.0	5.0
337.0	1.0
338.0	1.0
339.0	2.0
340.0	5.0
341.0	1.0
342.0	2.0
343.0	3.0
344.0	2.0
346.0	5.0
347.0	6.0
348.0	1.0
349.0	1.0
350.0	3.0
351.0	4.0
352.0	1.0
353.0	3.0
355.0	1.0
356.0	1.0
357.0	2.0
358.0	1.0
359.0	2.0
360.0	1.0
362.0	1.0
363.0	1.0
364.0	3.0
365.0	2.0
366.0	1.0
367.0	3.0
368.0	1.0
370.0	1.0
372.0	2.0
375.0	1.0
376.0	1.0
382.0	1.0
383.0	1.0
384.0	1.0
386.0	3.0
389.0	2.0
390.0	2.0
391.0	1.0
393.0	1.0
394.0	1.0
398.0	1.0
403.0	3.0
405.0	1.0
408.0	1.0
409.0	1.0
410.0	3.0
411.0	1.0
418.0	1.0
420.0	1.0
423.0	1.0
426.0	2.0
427.0	1.0
428.0	2.0
429.0	1.0
432.0	1.0
436.0	2.0
440.0	1.0
443.0	2.0
444.0	3.0
447.0	2.0
451.0	1.0
463.0	1.0
466.0	1.0
468.0	1.0
469.0	1.0
471.0	1.0
473.0	1.0
476.0	1.0
479.0	1.0
482.0	1.0
484.0	2.0
485.0	4.0
486.0	1.0
490.0	1.0
491.0	2.0
492.0	1.0
495.0	2.0
496.0	2.0
498.0	2.0
500.0	2.0
501.0	3.0
502.0	1.0
