#Mapping quality	mapping quality
0.0	3416.0
1.0	5154.0
2.0	39.0
3.0	15.0
4.0	8.0
5.0	6.0
6.0	18.0
7.0	35.0
8.0	17.0
9.0	47.0
10.0	97.0
11.0	13.0
12.0	219.0
13.0	6.0
14.0	7.0
15.0	168.0
16.0	1.0
17.0	30.0
18.0	15.0
19.0	4.0
20.0	548.0
21.0	22.0
22.0	25.0
23.0	24.0
24.0	30.0
25.0	17.0
26.0	21.0
27.0	27.0
28.0	43.0
29.0	30.0
30.0	1385.0
31.0	52.0
32.0	40.0
33.0	47.0
34.0	96.0
35.0	66.0
36.0	93.0
37.0	84.0
38.0	49.0
39.0	18.0
40.0	384.0
41.0	55.0
42.0	41.0
43.0	92.0
44.0	35.0
45.0	178.0
46.0	21.0
47.0	18.0
48.0	166.0
49.0	27.0
50.0	107.0
51.0	89.0
52.0	101.0
53.0	98.0
54.0	218.0
55.0	263.0
56.0	210.0
57.0	434.0
58.0	595.0
59.0	811.0
60.0	278686.0
