#Read position (bp)	Clipping profile
0.0	23.710082791247782
1.0	13.024837374334714
2.0	8.955499704316972
3.0	7.114872856298049
4.0	5.233589591957422
5.0	4.22087522176227
6.0	3.4705795387344764
7.0	2.8903015966883503
8.0	2.210230632761679
9.0	1.7186575990538144
10.0	1.293613246599645
11.0	0.9683619160260202
12.0	0.6763749260792431
13.0	0.35112359550561795
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.007392075694855116
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.003696037847427558
46.0	0.003696037847427558
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.003696037847427558
55.0	0.003696037847427558
56.0	0.011088113542282674
57.0	0.01848018923713779
58.0	0.007392075694855116
59.0	0.007392075694855116
60.0	0.007392075694855116
61.0	0.003696037847427558
62.0	0.007392075694855116
63.0	0.014784151389710232
64.0	0.011088113542282674
65.0	0.011088113542282674
66.0	0.029568302779420463
67.0	0.05174452986398581
68.0	0.05544056771141336
69.0	0.15153755174452987
70.0	0.3326434062684802
71.0	0.8722649319929036
72.0	1.6521289178001182
73.0	2.4209047900650504
74.0	5.573625073920757
75.0	12.899172087522176
