#Transcript position	Transcript coverage profile
0.0	9.49255353155414
1.0	16.88133456401232
2.0	17.606108356338876
3.0	16.633309648742156
4.0	17.792701512863886
5.0	19.75034625085739
6.0	19.758439726985742
7.0	20.141050355916718
8.0	20.416258020257672
9.0	19.76989710904534
10.0	17.926959693194902
11.0	19.908165581611794
12.0	19.008204166690973
13.0	19.216072661631575
14.0	17.718224584970045
15.0	16.590169449051334
16.0	14.422891014351206
17.0	12.62645931944774
18.0	10.746168795689442
19.0	10.682372696939662
20.0	8.93684101595442
21.0	9.361836379382593
22.0	9.959943021010636
23.0	8.89731276631494
24.0	5.74793416769854
25.0	4.809074262962053
26.0	5.368312826512073
27.0	4.971185173631248
28.0	3.5078358516583856
29.0	3.2520182723237228
30.0	5.543931418507898
31.0	7.641674746388919
32.0	6.927117078806448
33.0	7.9564501017831475
34.0	7.484153373479143
35.0	6.477200768499869
36.0	4.679103292796268
37.0	4.012560588588967
38.0	5.2616541687480405
39.0	4.438550515451239
40.0	4.541607880876436
41.0	5.021376869234732
42.0	5.335892671490961
43.0	5.415343247533788
44.0	4.544340232820052
45.0	4.829953659910083
46.0	5.118983910822859
47.0	5.6433505130654895
48.0	6.613356497659677
49.0	6.381426753164427
50.0	6.229115966724526
51.0	6.171342772815184
52.0	5.903615591417142
53.0	4.543110948116886
54.0	5.17154551798456
55.0	5.069161122325871
56.0	3.8257702250366483
57.0	3.6426621292678814
58.0	4.204168022379676
59.0	4.113882567120467
60.0	4.800459308968282
61.0	5.287409866336265
62.0	5.596919170683391
63.0	6.037629493775416
64.0	5.901295273122091
65.0	6.008664545065827
66.0	5.951670036940996
67.0	5.489826548542655
68.0	4.872831507688971
69.0	4.576991950953758
70.0	4.162637149599239
71.0	4.4170215576419
72.0	4.5838543469729185
73.0	5.024100327699038
74.0	4.85223101323122
75.0	4.606707232454547
76.0	3.646464968509095
77.0	3.3809608477046003
78.0	2.925659821645057
79.0	3.264004982109993
80.0	3.4263906927492815
81.0	3.3125989231581907
82.0	3.552149247005527
83.0	3.6210480677165395
84.0	3.7951572270715204
85.0	3.925954080424374
86.0	3.3805868509514725
87.0	3.1670381688491487
88.0	3.193475646206087
89.0	3.137208384082757
90.0	3.355819172410696
91.0	3.4346794706976
92.0	3.3409968281599274
93.0	3.2897989852867724
94.0	2.418175787785266
95.0	2.017342458228795
96.0	1.534379486259436
97.0	1.2373860029700605
98.0	0.3852704375259789
99.0	0.1407085997626721
