#Position (bp)	Coverage	Std
64131.5	0.0	0.0
192393.5	0.0	0.0
320655.5	0.0	0.0
448917.5	0.0	0.0
577179.5	0.0	0.0
705441.5	0.0	0.0
833703.5	0.0	0.0
961965.5	0.0	0.0
1090227.5	0.0	0.0
1218489.5	0.0	0.0
1346751.5	0.0	0.0
1475013.5	0.0	0.0
1603275.5	0.0	0.0
1731537.5	0.0	0.0
1859799.5	0.0	0.0
1988061.5	0.0	0.0
2116323.5	0.0	0.0
2244585.5	0.0	0.0
2372847.5	0.0	0.0
2501109.5	0.0	0.0
2629371.5	0.0	0.0
2757633.5	0.0	0.0
2885895.5	0.0	0.0
3014157.5	0.0	0.0
3142419.5	0.0	0.0
3270681.5	0.0	0.0
3398943.5	0.0	0.0
3527205.5	0.0	0.0
3655467.5	0.0	0.0
3783729.5	0.0	0.0
3911991.5	0.0	0.0
4040253.5	0.0	0.0
4168515.5	0.0	0.0
4296777.5	0.0	0.0
4425039.5	0.0	0.0
4553301.5	0.0	0.0
4681563.5	0.0	0.0
4809825.5	0.0	0.0
4938087.5	0.0	0.0
5066349.5	0.0	0.0
5194611.5	0.0	0.0
5322873.5	0.0	0.0
5451135.5	0.0	0.0
5579397.5	0.0	0.0
5707659.5	0.0	0.0
5835921.5	0.0	0.0
5964183.5	0.0	0.0
6092445.5	0.0	0.0
6220707.5	0.0	0.0
6348969.5	0.0	0.0
6477231.5	0.0	0.0
6605493.5	0.0	0.0
6733755.5	0.0	0.0
6862017.5	0.0	0.0
6990279.5	0.0	0.0
7118541.5	0.0	0.0
7246803.5	0.0	0.0
7375065.5	0.0	0.0
7503327.5	0.0	0.0
7631589.5	0.0	0.0
7759851.5	0.0	0.0
7888113.5	0.0	0.0
8016375.5	0.0	0.0
8144637.5	0.0	0.0
8272899.5	0.0	0.0
8401161.5	0.0	0.0
8529423.5	0.0	0.0
8657685.5	0.0	0.0
8785947.5	0.0	0.0
8914209.5	0.0	0.0
9042471.5	0.0	0.0
9170733.5	0.0	0.0
9298995.5	0.0	0.0
9427257.5	0.0	0.0
9555519.5	0.0	0.0
9683781.5	0.0	0.0
9812043.5	0.0	0.0
9940305.5	0.0	0.0
1.00685675E7	0.0	0.0
1.01968295E7	0.0	0.0
1.03250915E7	0.0	0.0
1.04533535E7	0.0	0.0
1.05816155E7	0.0	0.0
1.07098775E7	0.0	0.0
1.08381395E7	0.0	0.0
1.09664015E7	0.0	0.0
1.10946635E7	0.0	0.0
1.12229255E7	0.0	0.0
1.13511875E7	0.0	0.0
1.14794495E7	0.0	0.0
1.16077115E7	0.0	0.0
1.17359735E7	0.0	0.0
1.18642355E7	0.0	0.0
1.19924975E7	0.0	0.0
1.21207595E7	0.0	0.0
1.22490215E7	0.0	0.0
1.23772835E7	0.0	0.0
1.25055455E7	0.0	0.0
1.26338075E7	0.0	0.0
1.27620695E7	0.0	0.0
1.28903315E7	0.0	0.0
1.30185935E7	0.0	0.0
1.31468555E7	0.0	0.0
1.32751175E7	0.0	0.0
1.34033795E7	0.0	0.0
1.35316415E7	0.0	0.0
1.36599035E7	0.0	0.0
1.37881655E7	0.0	0.0
1.39164275E7	0.0	0.0
1.40446895E7	0.0	0.0
1.41729515E7	0.0	0.0
1.43012135E7	0.0	0.0
1.44294755E7	0.0	0.0
1.45577375E7	0.0	0.0
1.46859995E7	0.0	0.0
1.48142615E7	0.0	0.0
1.49425235E7	0.0	0.0
1.50707855E7	0.0	0.0
1.51990475E7	0.0	0.0
1.53273095E7	0.0	0.0
1.54555715E7	0.0	0.0
1.55838335E7	0.0	0.0
1.57120955E7	0.0	0.0
1.58403575E7	0.0	0.0
1.59686195E7	0.0	0.0
1.60968815E7	0.2678891643666869	1.357011687183638
1.62251435E7	2.5531022438446307	1.6864761226060994
1.63534055E7	0.12641312313857572	0.9997933703035476
1.64816675E7	0.002947092669691725	0.08714259220611599
1.66099295E7	0.0047325006627060235	0.0687931730821164
1.67381915E7	0.002954889211145936	0.05435889265930585
1.68664535E7	0.004132166970731784	0.07052796216952935
1.69947155E7	0.01239650091219535	0.13627678358374323
1.71229775E7	0.05389749107296003	0.38174985640090336
1.72512395E7	0.145608208198843	0.1239007268878649
1.73795015E7	0.1269510844989163	1.0023556791777046
